issn,分类,总被引频次,影响因子,分区
2210-5379,"COMPUTER SCIENCE, INFORMATION SYSTEMS",175,1.196,4
0033-0337,"COMPUTER SCIENCE, INFORMATION SYSTEMS",473,1.17,4
1559-1131,"COMPUTER SCIENCE, INFORMATION SYSTEMS",582,1.163,4
1386-145X,"COMPUTER SCIENCE, INFORMATION SYSTEMS",614,1.15,4
1573-4277,"COMPUTER SCIENCE, INFORMATION SYSTEMS",363,1.113,4
0925-9902,"COMPUTER SCIENCE, INFORMATION SYSTEMS",794,1.107,4
2095-2228,"COMPUTER SCIENCE, INFORMATION SYSTEMS",456,1.105,4
1939-8018,"COMPUTER SCIENCE, INFORMATION SYSTEMS",747,1.088,4
1741-1106,"COMPUTER SCIENCE, INFORMATION SYSTEMS",142,1.071,4
0362-5915,"COMPUTER SCIENCE, INFORMATION SYSTEMS",1165,1,4
1361-4568,"COMPUTER SCIENCE, INFORMATION SYSTEMS",156,1,4
1073-0516,"COMPUTER SCIENCE, INFORMATION SYSTEMS",894,0.972,4
0730-9295,"COMPUTER SCIENCE, INFORMATION SYSTEMS",245,0.968,4
0018-8646,"COMPUTER SCIENCE, INFORMATION SYSTEMS",3100,0.962,4
1574-017X,"COMPUTER SCIENCE, INFORMATION SYSTEMS",531,0.958,4
0926-8782,"COMPUTER SCIENCE, INFORMATION SYSTEMS",320,0.925,4
2095-9184,"COMPUTER SCIENCE, INFORMATION SYSTEMS",237,0.91,4
1939-0114,"COMPUTER SCIENCE, INFORMATION SYSTEMS",1445,0.904,4
1751-8709,"COMPUTER SCIENCE, INFORMATION SYSTEMS",427,0.89,4
0001-5903,"COMPUTER SCIENCE, INFORMATION SYSTEMS",663,0.886,4
1748-1279,"COMPUTER SCIENCE, INFORMATION SYSTEMS",451,0.878,4
1876-1364,"COMPUTER SCIENCE, INFORMATION SYSTEMS",362,0.878,4
1530-8669,"COMPUTER SCIENCE, INFORMATION SYSTEMS",2946,0.869,4
1392-124X,"COMPUTER SCIENCE, INFORMATION SYSTEMS",229,0.8,4
0020-0190,"COMPUTER SCIENCE, INFORMATION SYSTEMS",3461,0.793,4
1552-6283,"COMPUTER SCIENCE, INFORMATION SYSTEMS",309,0.793,4
0010-4620,"COMPUTER SCIENCE, INFORMATION SYSTEMS",3378,0.792,4
1570-5838,"COMPUTER SCIENCE, INFORMATION SYSTEMS",165,0.774,4
1551-9899,"COMPUTER SCIENCE, INFORMATION SYSTEMS",308,0.753,4
1546-2234,"COMPUTER SCIENCE, INFORMATION SYSTEMS",189,0.744,4
1743-8225,"COMPUTER SCIENCE, INFORMATION SYSTEMS",357,0.648,4
1820-0214,"COMPUTER SCIENCE, INFORMATION SYSTEMS",359,0.613,4
1976-7277,"COMPUTER SCIENCE, INFORMATION SYSTEMS",790,0.611,4
1548-0992,"COMPUTER SCIENCE, INFORMATION SYSTEMS",999,0.502,4
1745-1361,"COMPUTER SCIENCE, INFORMATION SYSTEMS",1583,0.5,4
1683-3198,"COMPUTER SCIENCE, INFORMATION SYSTEMS",524,0.466,4
2471-2566,"COMPUTER SCIENCE, INFORMATION SYSTEMS",8,0.444,4
1545-7362,"COMPUTER SCIENCE, INFORMATION SYSTEMS",101,0.405,4
0988-3754,"COMPUTER SCIENCE, INFORMATION SYSTEMS",254,0.35,4
1745-1337,"COMPUTER SCIENCE, INFORMATION SYSTEMS",1602,0.337,4
1016-2364,"COMPUTER SCIENCE, INFORMATION SYSTEMS",598,0.327,4
0315-5986,"COMPUTER SCIENCE, INFORMATION SYSTEMS",419,0.257,4
1063-8016,"COMPUTER SCIENCE, INFORMATION SYSTEMS",169,0.231,4
0218-8430,"COMPUTER SCIENCE, INFORMATION SYSTEMS",185,0.2,4
1548-7660,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",14900,22.737,1
1134-3060,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",1523,6.605,1
0278-0062,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",17837,6.131,1
1093-9687,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",2583,5.475,1
1551-3203,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",8513,5.43,1
1361-8415,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",6383,5.356,2
0360-1315,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",13146,4.538,2
1067-5027,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",8713,4.27,2
1364-8152,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",11551,4.177,2
1084-8045,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",5072,3.991,2
1568-4946,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",14474,3.907,2
1758-2946,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",2117,3.893,2
1539-2791,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",1104,3.852,2
2168-2194,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",2922,3.85,2
1549-9596,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",14365,3.804,2
0010-4655,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",18470,3.748,2
1069-2509,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",587,3.667,2
1751-1577,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",2334,3.484,2
0736-5845,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",3366,3.464,2
0894-4393,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",1631,3.253,2
0965-9978,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",3648,3.198,2
0360-8352,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",9868,3.195,3
0266-352X,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",5874,3.138,3
0098-1354,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",11846,3.113,3
0305-0548,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",11297,2.962,3
0263-5577,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",2990,2.948,3
0045-7949,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",13157,2.887,3
1532-0464,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",5871,2.882,3
1615-147X,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",6629,2.876,3
0021-9991,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",47028,2.864,3
0166-3615,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",3183,2.85,3
2213-1337,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",407,2.754,3
1420-0597,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",1795,2.726,3
0169-2607,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",5915,2.674,3
1567-4223,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",1789,2.582,3
0340-6253,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",2239,2.58,3
0098-3004,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",9535,2.567,3
1545-5963,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",2296,2.428,3
0168-1699,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",6518,2.427,3
1432-7643,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",4456,2.367,3
0920-654X,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",3853,2.356,3
1062-936X,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",946,2.227,3
0045-7930,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",8975,2.221,3
0138-9130,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",8766,2.173,3
0010-4825,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",4649,2.115,3
1569-190X,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",2371,2.092,3
0278-0070,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",4913,2.089,3
1094-3420,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",829,2.015,3
1875-6891,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",974,2,3
0951-192X,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",1749,1.995,3
1025-5842,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",2564,1.974,3
0140-0118,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",5422,1.971,3
1868-1743,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",1003,1.955,4
0177-0667,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",1086,1.951,4
1877-7503,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",1136,1.925,4
1093-3263,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",6519,1.885,4
1939-1382,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",623,1.869,4
0887-3801,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",2256,1.798,4
1464-7141,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",1307,1.797,4
1742-2876,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",891,1.771,4
0219-6220,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",852,1.755,4
0045-7906,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",2473,1.747,4
0271-2091,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",6641,1.673,4
1598-8198,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",839,1.637,4
1865-0473,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",326,1.628,4
1530-9827,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",752,1.588,4
0167-6393,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",3266,1.585,4
1610-2940,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",5603,1.507,4
2167-6461,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",294,1.489,4
0378-4754,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",3426,1.476,4
1063-293X,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",497,1.456,4
1091-9392,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",321,1.421,4
1476-9271,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",1076,1.412,4
1091-9856,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",1607,1.392,4
1359-4338,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",377,1.375,4
2073-4859,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",670,1.371,4
0891-2017,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",1864,1.319,4
1096-4290,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",780,1.306,4
1747-7778,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",381,1.218,4
1066-5277,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",3389,1.191,4
0167-9473,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",7972,1.181,4
0264-4401,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",1714,1.177,4
0257-0130,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",1297,1.171,4
1061-3773,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",703,1.153,4
1521-9615,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",3025,1.074,4
1538-2931,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",731,1.056,4
0890-0604,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",703,1.045,4
0929-8215,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",516,0.979,4
1343-8875,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",513,0.971,4
0037-5497,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",1278,0.94,4
1049-3301,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",598,0.931,4
1382-6905,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",1094,0.927,4
0129-1831,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",1903,0.919,4
0094-9655,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",2418,0.869,4
1932-1864,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",336,0.865,4
1573-4099,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",391,0.77,4
0925-9724,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",547,0.725,4
1574-020X,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",422,0.656,4
1381-298X,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",423,0.641,4
1387-3954,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",381,0.586,4
0148-9267,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",472,0.568,4
0218-2130,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",411,0.565,4
0332-1649,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",773,0.534,4
1556-4673,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",105,0.529,4
0938-1279,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",331,0.464,4
1939-1374,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",1636,4.418,1
1545-5971,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",1692,4.41,1
0730-0301,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",16424,4.384,1
1084-8045,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",5072,3.991,1
1520-9210,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",6203,3.977,1
0098-5589,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",6343,3.331,2
0965-9978,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",3648,3.198,2
1077-2626,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",7603,3.078,2
0001-0782,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",17147,3.063,2
0010-4485,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",5323,2.947,2
1382-3256,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",1596,2.933,2
0098-3500,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",3702,2.905,2
0740-7459,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",2560,2.879,2
0018-9529,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",5490,2.729,2
0025-5610,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",8828,2.665,2
0950-5849,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",3567,2.627,2
1086-4415,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",1843,2.514,2
1936-4954,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",3184,2.361,2
0164-1212,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",4992,2.278,2
0262-8856,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",5280,2.159,2
1569-190X,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",2371,2.092,3
0167-7055,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",6015,2.046,3
1551-6857,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",781,2.019,3
1049-331X,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",919,1.946,3
0018-9162,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",6201,1.94,3
1089-7801,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",2248,1.929,3
0924-9907,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",2049,1.927,3
0272-1732,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",1499,1.913,3
1070-986X,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",844,1.898,3
1477-8424,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",166,1.84,3
1047-3203,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",2744,1.836,3
0928-8910,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",337,1.806,3
0947-3602,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",526,1.75,3
0004-5411,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",6167,1.744,3
1533-5399,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",482,1.727,3
1619-1366,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",718,1.722,3
1615-5262,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",526,1.658,3
0272-1716,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",2234,1.64,3
1520-9202,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",592,1.618,3
0963-9314,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",508,1.596,3
0960-0833,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",579,1.556,3
1380-7501,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",4753,1.541,3
0167-8396,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",1517,1.522,3
0065-2458,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",397,1.514,3
1556-4681,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",895,1.489,3
0378-4754,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",3426,1.476,3
0920-5489,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",1259,1.465,3
0006-3835,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",1889,1.425,3
1359-4338,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",377,1.375,3
1007-0214,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",850,1.365,3
1570-8268,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",961,1.348,3
1058-9244,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",448,1.344,3
0038-0644,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",1745,1.338,4
0163-5808,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",1637,1.261,4
1540-7993,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",1410,1.239,4
0097-8493,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",1959,1.2,4
1055-6788,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",1681,1.183,4
2047-7473,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",372,1.167,4
1559-1131,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",582,1.163,4
1539-9087,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",1214,1.156,4
1386-145X,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",614,1.15,4
1532-0626,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",2157,1.114,4
2095-2228,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",456,1.105,4
1433-2779,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",414,1.077,4
1741-1106,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",142,1.071,4
0948-695X,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",1079,1.066,4
0178-2789,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",1829,1.036,4
1524-0703,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",868,1.019,4
0362-5915,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",1165,1,4
1042-9832,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",1450,0.985,4
1045-926X,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",652,0.971,4
1544-3558,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",499,0.962,4
0018-8646,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",3100,0.962,4
1751-8806,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",264,0.947,4
0037-5497,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",1278,0.94,4
1553-3077,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",354,0.927,4
1473-8716,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",542,0.923,4
1383-7621,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",840,0.913,4
2095-9184,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",237,0.91,4
1943-068X,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",401,0.897,4
1000-9000,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",926,0.878,4
1471-0684,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",403,0.875,4
1084-4309,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",621,0.87,4
0934-5043,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",384,0.845,4
0010-4620,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",3378,0.792,4
1548-3924,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",184,0.781,4
0164-0925,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",1080,0.759,4
0167-6423,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",1330,0.74,4
0169-2968,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",1570,0.725,4
0956-7968,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",376,0.703,4
1546-4261,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",424,0.697,4
0178-4617,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",1940,0.667,4
1820-0214,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",359,0.613,4
1462-7264,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",362,0.569,4
0219-6913,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",368,0.54,4
0929-5585,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",138,0.516,4
1745-1361,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",1583,0.5,4
1054-7460,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",1590,0.426,4
1545-7362,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",101,0.405,4
0218-1940,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",360,0.397,4
1389-6911,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",45,0.313,4
1540-9589,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",95,0.311,4
0361-7688,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",135,0.267,4
1063-8016,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",169,0.231,4
1089-778X,"COMPUTER SCIENCE, THEORY & METHODS",10682,8.124,1
2162-237X,"COMPUTER SCIENCE, THEORY & METHODS",19867,7.982,1
2168-7161,"COMPUTER SCIENCE, THEORY & METHODS",1066,7.928,1
1566-2535,"COMPUTER SCIENCE, THEORY & METHODS",3303,6.639,1
1556-6013,"COMPUTER SCIENCE, THEORY & METHODS",7294,5.824,1
0360-0300,"COMPUTER SCIENCE, THEORY & METHODS",6593,5.55,2
0167-739X,"COMPUTER SCIENCE, THEORY & METHODS",6410,4.639,2
1045-9219,"COMPUTER SCIENCE, THEORY & METHODS",8848,3.971,2
2210-6502,"COMPUTER SCIENCE, THEORY & METHODS",1517,3.818,2
0737-0024,"COMPUTER SCIENCE, THEORY & METHODS",1278,3.379,2
1387-3326,"COMPUTER SCIENCE, THEORY & METHODS",1470,3.232,2
1063-6692,"COMPUTER SCIENCE, THEORY & METHODS",7390,3.11,2
0001-0782,"COMPUTER SCIENCE, THEORY & METHODS",17147,3.063,2
1615-3375,"COMPUTER SCIENCE, THEORY & METHODS",1402,3.056,2
0308-1079,"COMPUTER SCIENCE, THEORY & METHODS",1521,2.931,2
2325-6095,"COMPUTER SCIENCE, THEORY & METHODS",417,2.912,2
1570-7873,"COMPUTER SCIENCE, THEORY & METHODS",687,2.8,2
0165-0114,"COMPUTER SCIENCE, THEORY & METHODS",15853,2.675,2
0169-2607,"COMPUTER SCIENCE, THEORY & METHODS",5915,2.674,2
1063-6560,"COMPUTER SCIENCE, THEORY & METHODS",2629,2.388,2
0164-1212,"COMPUTER SCIENCE, THEORY & METHODS",4992,2.278,3
1758-0366,"COMPUTER SCIENCE, THEORY & METHODS",590,2.266,3
1570-0844,"COMPUTER SCIENCE, THEORY & METHODS",522,2.224,3
0020-7721,"COMPUTER SCIENCE, THEORY & METHODS",4591,2.185,3
0262-8856,"COMPUTER SCIENCE, THEORY & METHODS",5280,2.159,3
0923-6082,"COMPUTER SCIENCE, THEORY & METHODS",659,2.088,3
1551-6857,"COMPUTER SCIENCE, THEORY & METHODS",781,2.019,3
1094-3420,"COMPUTER SCIENCE, THEORY & METHODS",829,2.015,3
1942-4787,"COMPUTER SCIENCE, THEORY & METHODS",547,1.939,3
1877-7503,"COMPUTER SCIENCE, THEORY & METHODS",1136,1.925,3
1070-986X,"COMPUTER SCIENCE, THEORY & METHODS",844,1.898,3
0960-3174,"COMPUTER SCIENCE, THEORY & METHODS",3607,1.851,3
0743-7315,"COMPUTER SCIENCE, THEORY & METHODS",2729,1.815,3
0166-5316,"COMPUTER SCIENCE, THEORY & METHODS",1418,1.786,3
0734-2071,"COMPUTER SCIENCE, THEORY & METHODS",1172,1.76,3
0004-5411,"COMPUTER SCIENCE, THEORY & METHODS",6167,1.744,3
0942-4962,"COMPUTER SCIENCE, THEORY & METHODS",726,1.703,3
1615-5262,"COMPUTER SCIENCE, THEORY & METHODS",526,1.658,3
0010-485X,"COMPUTER SCIENCE, THEORY & METHODS",1877,1.654,3
1386-7857,"COMPUTER SCIENCE, THEORY & METHODS",1163,1.601,3
1533-7146,"COMPUTER SCIENCE, THEORY & METHODS",1476,1.601,3
0922-6443,"COMPUTER SCIENCE, THEORY & METHODS",697,1.595,3
1380-7501,"COMPUTER SCIENCE, THEORY & METHODS",4753,1.541,3
0920-8542,"COMPUTER SCIENCE, THEORY & METHODS",2421,1.532,3
0022-0000,"COMPUTER SCIENCE, THEORY & METHODS",3760,1.497,3
2167-6461,"COMPUTER SCIENCE, THEORY & METHODS",294,1.489,3
1389-2576,"COMPUTER SCIENCE, THEORY & METHODS",307,1.455,3
0266-4720,"COMPUTER SCIENCE, THEORY & METHODS",568,1.43,3
1556-4665,"COMPUTER SCIENCE, THEORY & METHODS",420,1.216,3
1936-2447,"COMPUTER SCIENCE, THEORY & METHODS",160,1.213,3
1544-3566,"COMPUTER SCIENCE, THEORY & METHODS",534,1.131,3
1381-1231,"COMPUTER SCIENCE, THEORY & METHODS",1122,1.129,4
1532-0626,"COMPUTER SCIENCE, THEORY & METHODS",2157,1.114,4
0925-1022,"COMPUTER SCIENCE, THEORY & METHODS",1615,1.114,4
2095-2228,"COMPUTER SCIENCE, THEORY & METHODS",456,1.105,4
0960-1295,"COMPUTER SCIENCE, THEORY & METHODS",588,1.094,4
0890-5401,"COMPUTER SCIENCE, THEORY & METHODS",2119,1.077,4
0948-695X,"COMPUTER SCIENCE, THEORY & METHODS",1079,1.066,4
0933-2790,"COMPUTER SCIENCE, THEORY & METHODS",1081,1.056,4
0141-9331,"COMPUTER SCIENCE, THEORY & METHODS",825,1.049,4
1548-7199,"COMPUTER SCIENCE, THEORY & METHODS",224,1.022,4
